AGE,SEX,SCHL,WORK,INCOME
47,여,전문학사,비영리단체,38600
44,남,고졸,비영리단체,24000
27,남,전문학사,기업,27000
30,남,중졸이하,기업,6000
46,여,전문학사,비영리단체,28400
32,남,석사,기업,220000
48,여,석사,기업,105300
46,남,석사,기업,87190
50,남,전문학사,기업,46000
24,여,학사,기업,10000
25,남,전문학사,기업,30000
35,남,석사,비영리단체,68000
42,여,학사,기업,25000
45,남,고졸,기업,17700
45,여,고졸,기업,32000
49,여,전문학사,기업,28900
42,남,전문학사,기업,35000
47,남,전문학사,공무원,53000
45,여,전문학사,기업,25000
46,남,전문학사,기업,55000
48,여,고졸,기업,45000
50,남,전문학사,기업,50000
30,남,고졸,비영리단체,25000
36,남,고졸,기업,48000
39,남,고졸,기업,40000
41,남,학사,기업,45000
50,여,고졸,기업,27400
43,남,고졸,기업,65000
49,여,고졸,기업,52000
43,남,학사,기업,1.145E7
48,남,전문학사,기업,36000
41,남,고졸,기업,50000
40,여,고졸,기업,37400
49,남,학사,자영업,48000
27,남,고졸,공무원,20000
27,남,학사,기업,91500
20,남,전문학사,기업,16500
39,남,고졸,공무원,80000
47,남,학사,자영업,105100
21,여,전문학사,기업,5000
39,남,고졸,기업,35000
22,남,중졸이하,기업,13300
33,여,전문학사,기업,29800
50,여,고졸,비영리단체,27600
36,남,고졸,기업,28000
39,남,고졸,기업,68000
23,남,고졸,기업,21100
48,남,석사,기업,91000
47,여,전문학사,기업,52000
47,여,석사,기업,61800
36,남,고졸,기업,65000
31,여,전문학사,기업,25000
30,남,전문학사,기업,20800
47,남,전문학사,기업,108130
43,남,중졸이하,기업,75000
39,여,학사,기업,29000
21,남,중졸이하,기업,15000
35,남,학사,기업,85000
28,여,고졸,기업,23200
44,남,학사,기업,85200
26,여,학사,기업,16800
32,여,전문학사,공무원,11040
48,남,전문학사,기업,38050
32,남,전문학사,기업,60000
30,여,학사,비영리단체,25000
42,남,전문학사,공무원,62000
35,여,고졸,비영리단체,28000
46,남,학사,기업,83000
49,여,전문학사,자영업,32000
24,남,전문학사,기업,12000
33,남,전문학사,기업,54000
24,여,석사,공무원,40000
37,남,전문학사,기업,60000
35,여,학사,공무원,57000
35,남,전문학사,기업,63000
37,남,학사,기업,90000
-64,여,학사,자영업,15000
50,남,고졸,공무원,48000
29,여,고졸,기업,9600
25,여,학사,공무원,20000
39,남,학사,기업,70000
34,남,전문학사,기업,44700
36,여,학사,기업,92050
37,남,학사,기업,50010
36,남,학사,자영업,15750
30,여,학사,공무원,33000
33,남,고졸,기업,40000
37,남,전문학사,기업,30000
40,남,고졸,기업,40000
40,남,중졸이하,기업,71500
50,남,학사,공무원,36000
48,여,고졸,기업,39000
46,여,전문학사,기업,24000
47,남,고졸,공무원,45000
33,남,석사,기업,115000
30,여,석사,기업,50000
43,남,전문학사,기업,51000
43,여,전문학사,기업,28000
